trip_duration,trip_distance,PULocationID,DOLocationID,time_stamp,weekday,month
853,2.8,114,256,60,5,1
2235,20,243,218,107,3,1
2768,26.6,127,55,13,2,1
1099,6.8,195,148,30,4,1
842,5.9,136,200,130,4,1
2736,23.1,117,58,85,4,1
2522,21.6,6,41,122,1,1
2968,25.5,111,46,109,4,1
3137,33.6,96,1,15,3,1
2218,16.8,123,134,4,1,1
1695,10.2,36,175,143,2,1
1262,9.5,141,128,70,3,1
